label,method,dataset,metric_name,metric_value,complete,official_repo_commit,method_params,summary_path,run_dir
VisionZip-sv1compute,visionzip,textvqa,accuracy,57.40200000000011,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 30, ""dominant"": 161, ""retained_visual_tokens"": 191}",algo_compare/visionzip/outputs/official_textvqa_visionzip_dom161_ctx30_sv1compute_gpu23_20260526_165833/official_summary.json,algo_compare/visionzip/outputs/official_textvqa_visionzip_dom161_ctx30_sv1compute_gpu23_20260526_165833
DivPrune-sv1compute,divprune,textvqa,accuracy,56.50200000000009,True,799e2d950aa01ba7860907f5a6d86061f885dca6,"{""baseline"": ""OURS"", ""layer_index"": 0, ""retained_visual_tokens"": 191, ""subset_ratio"": 0.331598, ""visual_token_count"": 576}",algo_compare/divprune/outputs/official_textvqa_divprune_ratio0p331598_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/divprune/outputs/official_textvqa_divprune_ratio0p331598_sv1compute_rerun_20260526_161959
SparseVLM-v1-192,sparsevlm,pope,macro_f1,0.8537826586209353,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_pope_sparsevlm_v1_retain192_full_20260525_141634/official_summary.json,algo_compare/sparsevlm/outputs/official_pope_sparsevlm_v1_retain192_full_20260525_141634
SparseVLM-v2-192,sparsevlm,pope,macro_f1,0.8475071699583566,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_pope_sparsevlm_v2_retain192_full_20260525_124054/official_summary.json,algo_compare/sparsevlm/outputs/official_pope_sparsevlm_v2_retain192_full_20260525_124054
FastV-sv1compute,fastv,pope,macro_f1,0.7562360743069103,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 165, ""image_token_length"": 576, ""k"": 2, ""max_expanded_tokens"": 0, ""mode"": ""token_mask"", ""r"": 0.713542, ""sys_length"": 35}",algo_compare/fastv/outputs/official_pope_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/fastv/outputs/official_pope_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959
PDROP-sv1compute,pdrop,pope,macro_f1,0.796310975288344,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.248264,0.062500,0.015625]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_pope_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/pdrop/outputs/official_pope_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_rerun_20260526_161959
VisionZip-sv1compute,visionzip,pope,macro_f1,0.8565923725694957,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 30, ""dominant"": 161, ""retained_visual_tokens"": 191}",algo_compare/visionzip/outputs/official_pope_visionzip_dom161_ctx30_sv1compute_gpu23_20260526_165833/official_summary.json,algo_compare/visionzip/outputs/official_pope_visionzip_dom161_ctx30_sv1compute_gpu23_20260526_165833
DivPrune-sv1compute,divprune,pope,macro_f1,0.8701412720810019,True,799e2d950aa01ba7860907f5a6d86061f885dca6,"{""baseline"": ""OURS"", ""layer_index"": 0, ""retained_visual_tokens"": 191, ""subset_ratio"": 0.331598, ""visual_token_count"": 576}",algo_compare/divprune/outputs/official_pope_divprune_ratio0p331598_sv1compute_gpu23_20260526_165833/official_summary.json,algo_compare/divprune/outputs/official_pope_divprune_ratio0p331598_sv1compute_gpu23_20260526_165833
SparseVLM-v1-192,sparsevlm,mme,overall_total_score,1782.8784513805522,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_mme_sparsevlm_v1_retain192_full_20260525_141634/official_summary.json,algo_compare/sparsevlm/outputs/official_mme_sparsevlm_v1_retain192_full_20260525_141634
SparseVLM-v2-192,sparsevlm,mme,overall_total_score,1862.8404361744697,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_mme_sparsevlm_v2_retain192_full_20260525_123043/official_summary.json,algo_compare/sparsevlm/outputs/official_mme_sparsevlm_v2_retain192_full_20260525_123043
FastV-sv1compute,fastv,mme,overall_total_score,1820.3938575430172,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 165, ""image_token_length"": 576, ""k"": 2, ""max_expanded_tokens"": 0, ""mode"": ""token_mask"", ""r"": 0.713542, ""sys_length"": 35}",algo_compare/fastv/outputs/official_mme_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/fastv/outputs/official_mme_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959
PDROP-sv1compute,pdrop,mme,overall_total_score,1769.0346138455382,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.248264,0.062500,0.015625]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_mme_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/pdrop/outputs/official_mme_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_rerun_20260526_161959
VisionZip-sv1compute,visionzip,mme,overall_total_score,1760.141456582633,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 30, ""dominant"": 161, ""retained_visual_tokens"": 191}",algo_compare/visionzip/outputs/official_mme_visionzip_dom161_ctx30_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/visionzip/outputs/official_mme_visionzip_dom161_ctx30_sv1compute_rerun_20260526_161959
DivPrune-sv1compute,divprune,mme,overall_total_score,1775.3405362144858,True,799e2d950aa01ba7860907f5a6d86061f885dca6,"{""baseline"": ""OURS"", ""layer_index"": 0, ""retained_visual_tokens"": 191, ""subset_ratio"": 0.331598, ""visual_token_count"": 576}",algo_compare/divprune/outputs/official_mme_divprune_ratio0p331598_sv1compute_gpu23_20260526_165833/official_summary.json,algo_compare/divprune/outputs/official_mme_divprune_ratio0p331598_sv1compute_gpu23_20260526_165833
SparseVLM-v1-192,sparsevlm,scienceqa,accuracy,69.8420183918887,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_scienceqa_sparsevlm_v1_retain192_full_20260526_091625/official_summary.json,algo_compare/sparsevlm/outputs/official_scienceqa_sparsevlm_v1_retain192_full_20260526_091625
SparseVLM-v2-192,sparsevlm,scienceqa,accuracy,,False,,,,
FastV-sv1compute,fastv,scienceqa,accuracy,70.00707380334826,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 165, ""image_token_length"": 576, ""k"": 2, ""max_expanded_tokens"": 0, ""mode"": ""token_mask"", ""r"": 0.713542, ""sys_length"": 35}",algo_compare/fastv/outputs/official_scienceqa_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/fastv/outputs/official_scienceqa_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959
PDROP-sv1compute,pdrop,scienceqa,accuracy,70.31360528177316,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.248264,0.062500,0.015625]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_scienceqa_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_gpu23_20260526_165833/official_summary.json,algo_compare/pdrop/outputs/official_scienceqa_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_gpu23_20260526_165833
VisionZip-sv1compute,visionzip,scienceqa,accuracy,69.81843904739449,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 30, ""dominant"": 161, ""retained_visual_tokens"": 191}",algo_compare/visionzip/outputs/official_scienceqa_visionzip_dom161_ctx30_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/visionzip/outputs/official_scienceqa_visionzip_dom161_ctx30_sv1compute_rerun_20260526_161959
DivPrune-sv1compute,divprune,scienceqa,accuracy,69.86559773638294,True,799e2d950aa01ba7860907f5a6d86061f885dca6,"{""baseline"": ""OURS"", ""layer_index"": 0, ""retained_visual_tokens"": 191, ""subset_ratio"": 0.331598, ""visual_token_count"": 576}",algo_compare/divprune/outputs/official_scienceqa_divprune_ratio0p331598_sv1compute_gpu23_20260526_165833/official_summary.json,algo_compare/divprune/outputs/official_scienceqa_divprune_ratio0p331598_sv1compute_gpu23_20260526_165833
